t,x,y,yaw,state,front_dist,wall_dist,wall_dist_f,side_min,min_wall_dist
0.0,0.1,0.32,0.0,FOLLOW_WALL,4.0,0.3212,0.3212,0.3196,0.3059
0.05,0.1095,0.32,-0.0136,FOLLOW_WALL,4.0,0.3267,0.3225,0.3215,0.3141
0.1,0.119,0.3199,-0.0264,FOLLOW_WALL,4.0,0.3237,0.3228,0.3237,0.3072
0.15,0.1285,0.3196,-0.0384,FOLLOW_WALL,1.7955,0.3232,0.3229,0.3192,0.3127
0.2,0.138,0.3193,-0.0497,FOLLOW_WALL,1.7049,0.3309,0.3248,0.3127,0.3091
0.25,0.1475,0.3188,-0.0604,FOLLOW_WALL,1.5935,0.3243,0.3247,0.3196,0.3134
0.3,0.157,0.3182,-0.0705,FOLLOW_WALL,1.521,0.3186,0.3232,0.3075,0.3069
0.35,0.1664,0.3175,-0.0798,FOLLOW_WALL,1.4579,0.3169,0.3217,0.3189,0.3109
0.4,0.1759,0.3168,-0.0884,FOLLOW_WALL,1.3876,0.3212,0.3216,0.3197,0.3074
0.45,0.1854,0.3159,-0.0965,FOLLOW_WALL,1.3452,0.3157,0.3202,0.3157,0.3061
0.5,0.1948,0.315,-0.104,FOLLOW_WALL,1.3072,0.3222,0.3207,0.3187,0.3085
0.55,0.2043,0.314,-0.111,FOLLOW_WALL,1.2638,0.3162,0.3196,0.3147,0.3016
0.6,0.2137,0.313,-0.1176,FOLLOW_WALL,1.2279,0.3199,0.3197,0.3087,0.2955
0.65,0.2231,0.3119,-0.1237,FOLLOW_WALL,1.1959,0.3133,0.3181,0.3058,0.3009
0.7,0.2326,0.3107,-0.1293,FOLLOW_WALL,1.1649,0.3179,0.3181,0.3086,0.2967
0.75,0.242,0.3095,-0.1346,FOLLOW_WALL,1.1475,0.3109,0.3164,0.3084,0.3004
0.8,0.2514,0.3082,-0.1395,FOLLOW_WALL,1.1145,0.3124,0.3154,0.3056,0.3009
0.85,0.2608,0.3069,-0.1439,FOLLOW_WALL,1.1053,0.315,0.3153,0.3092,0.2972
0.9,0.2702,0.3055,-0.1481,FOLLOW_WALL,1.0759,0.3084,0.3137,0.3037,0.2985
0.95,0.2796,0.3041,-0.1519,FOLLOW_WALL,1.0568,0.3097,0.3127,0.2939,0.2939
1.0,0.289,0.3027,-0.1555,FOLLOW_WALL,1.0299,0.3031,0.3104,0.296,0.2956
1.05,0.2984,0.3012,-0.1586,FOLLOW_WALL,1.0232,0.3079,0.3098,0.2851,0.2851
1.1,0.3078,0.2997,-0.1615,FOLLOW_WALL,1.0105,0.3073,0.3092,0.3004,0.2908
1.15,0.3171,0.2982,-0.1642,FOLLOW_WALL,0.9899,0.3057,0.3084,0.2941,0.2889
1.2,0.3265,0.2966,-0.1666,FOLLOW_WALL,0.9832,0.3013,0.3067,0.2941,0.2855
1.25,0.3359,0.2951,-0.1688,FOLLOW_WALL,0.9729,0.2984,0.3047,0.2967,0.2781
1.3,0.3453,0.2935,-0.1707,FOLLOW_WALL,0.9557,0.3081,0.3055,0.2888,0.2844
1.35,0.3546,0.2918,-0.1726,FOLLOW_WALL,0.9534,0.2939,0.3027,0.2906,0.2826
1.4,0.364,0.2902,-0.1741,FOLLOW_WALL,0.9501,0.2928,0.3003,0.2859,0.2789
1.45,0.3733,0.2886,-0.1754,FOLLOW_WALL,0.9241,0.2946,0.299,0.292,0.2806
1.5,0.3827,0.2869,-0.1765,FOLLOW_WALL,0.9252,0.2885,0.2965,0.2832,0.2744
1.55,0.392,0.2852,-0.1774,FOLLOW_WALL,0.9169,0.2872,0.2942,0.285,0.2749
1.6,0.4014,0.2836,-0.1781,FOLLOW_WALL,0.9088,0.2884,0.2928,0.2884,0.2695
1.65,0.4107,0.2819,-0.1786,FOLLOW_WALL,0.8985,0.2889,0.2919,0.2741,0.2741
1.7,0.4201,0.2802,-0.1791,FOLLOW_WALL,0.9031,0.283,0.2898,0.283,0.2668
1.75,0.4294,0.2785,-0.1793,FOLLOW_WALL,0.8847,0.2828,0.2881,0.2812,0.271
1.8,0.4388,0.2768,-0.1795,FOLLOW_WALL,0.8875,0.2854,0.2875,0.2678,0.2657
1.85,0.4481,0.2751,-0.1795,FOLLOW_WALL,0.8834,0.2834,0.2865,0.2703,0.2637
1.9,0.4575,0.2734,-0.1796,FOLLOW_WALL,0.863,0.2752,0.2838,0.2752,0.2619
1.95,0.4668,0.2717,-0.1794,FOLLOW_WALL,0.868,0.2787,0.2826,0.2644,0.2633
2.0,0.4762,0.27,-0.1792,FOLLOW_WALL,0.8589,0.2725,0.2802,0.2699,0.2637
2.05,0.4855,0.2683,-0.1788,FOLLOW_WALL,1.5094,0.2742,0.2787,0.259,0.2588
2.1,0.4949,0.2666,-0.1783,FOLLOW_WALL,0.8476,0.2748,0.2778,0.2678,0.26
2.15,0.5042,0.265,-0.1778,FOLLOW_WALL,0.8545,0.2704,0.276,0.2681,0.2559
2.2,0.5136,0.2633,-0.1772,FOLLOW_WALL,0.8311,0.2678,0.2741,0.2678,0.2528
2.25,0.5229,0.2616,-0.1766,FOLLOW_WALL,0.8332,0.2667,0.2723,0.2554,0.2525
2.3,0.5323,0.2599,-0.1758,FOLLOW_WALL,0.8354,0.2675,0.2712,0.2538,0.2538
2.35,0.5416,0.2583,-0.175,FOLLOW_WALL,0.835,0.2601,0.2685,0.2601,0.2478
2.4,0.551,0.2566,-0.1741,FOLLOW_WALL,0.8372,0.259,0.2662,0.2557,0.2487
2.45,0.5603,0.255,-0.1731,FOLLOW_WALL,0.832,0.2599,0.2647,0.2485,0.2485
2.5,0.5697,0.2533,-0.172,FOLLOW_WALL,0.832,0.2626,0.2642,0.2515,0.2442
2.55,0.5791,0.2517,-0.171,FOLLOW_WALL,0.825,0.252,0.2613,0.2474,0.237
2.6,0.5884,0.2501,-0.1699,FOLLOW_WALL,0.8295,0.2591,0.2607,0.2504,0.2362
2.65,0.5978,0.2485,-0.1688,FOLLOW_WALL,0.8171,0.2494,0.258,0.2494,0.237
2.7,0.6071,0.2469,-0.1675,FOLLOW_WALL,0.8146,0.25,0.2561,0.2431,0.2394
2.75,0.6165,0.2453,-0.1662,FOLLOW_WALL,0.8152,0.2483,0.2542,0.2442,0.2352
2.8,0.6259,0.2437,-0.1649,FOLLOW_WALL,0.8137,0.2481,0.2528,0.2463,0.2289
2.85,0.6353,0.2422,-0.1636,FOLLOW_WALL,0.8091,0.2501,0.2521,0.2339,0.2328
2.9,0.6446,0.2406,-0.1623,FOLLOW_WALL,0.8045,0.2404,0.2493,0.2347,0.2252
2.95,0.654,0.2391,-0.1608,FOLLOW_WALL,0.8132,0.2419,0.2475,0.2365,0.2293
3.0,0.6634,0.2376,-0.1594,FOLLOW_WALL,0.8113,0.2451,0.2469,0.2401,0.2265
3.05,0.6728,0.2361,-0.158,FOLLOW_WALL,0.8054,0.2402,0.2453,0.2402,0.2223
3.1,0.6821,0.2346,-0.1566,FOLLOW_WALL,0.8028,0.239,0.2438,0.2278,0.225
3.15,0.6915,0.2331,-0.1552,FOLLOW_WALL,0.8035,0.2392,0.2427,0.2291,0.2261
