t,x,y,yaw,state,front_dist,wall_dist,wall_dist_f,side_min,min_wall_dist
0.0,0.1,0.28,0.0,FOLLOW_WALL,4.0,0.2788,0.2788,0.2771,0.2716
0.05,0.1095,0.28,-0.0107,FOLLOW_WALL,1.8615,0.28,0.2791,0.2764,0.2683
0.1,0.119,0.2799,-0.0208,FOLLOW_WALL,1.752,0.2849,0.2805,0.2835,0.2701
0.15,0.1285,0.2797,-0.0303,FOLLOW_WALL,1.6522,0.2885,0.2824,0.2818,0.2718
0.2,0.138,0.2794,-0.0394,FOLLOW_WALL,1.5739,0.2813,0.2821,0.277,0.2731
0.25,0.1475,0.279,-0.0479,FOLLOW_WALL,1.4917,0.2833,0.2824,0.2795,0.2723
0.3,0.157,0.2786,-0.0558,FOLLOW_WALL,1.4303,0.2777,0.2813,0.2841,0.2626
0.35,0.1665,0.2781,-0.0632,FOLLOW_WALL,1.3761,0.2783,0.2806,0.266,0.266
0.4,0.1759,0.2775,-0.0701,FOLLOW_WALL,1.3353,0.2797,0.2804,0.2759,0.2654
0.45,0.1854,0.2768,-0.0766,FOLLOW_WALL,1.2901,0.2778,0.2797,0.2688,0.2638
0.5,0.1949,0.2761,-0.0826,FOLLOW_WALL,1.2549,0.2786,0.2795,0.2754,0.2603
0.55,0.2044,0.2753,-0.0882,FOLLOW_WALL,1.2226,0.2826,0.2802,0.2759,0.2675
0.6,0.2138,0.2744,-0.0935,FOLLOW_WALL,1.1934,0.2759,0.2792,0.2736,0.2664
0.65,0.2233,0.2736,-0.0984,FOLLOW_WALL,1.1641,0.2726,0.2776,0.2696,0.262
0.7,0.2327,0.2726,-0.1029,FOLLOW_WALL,1.1388,0.278,0.2777,0.2709,0.264
0.75,0.2422,0.2716,-0.1071,FOLLOW_WALL,1.122,0.2737,0.2767,0.2644,0.2644
0.8,0.2516,0.2706,-0.111,FOLLOW_WALL,1.0964,0.2792,0.2773,0.2687,0.2576
0.85,0.2611,0.2696,-0.1147,FOLLOW_WALL,1.0787,0.2741,0.2766,0.2682,0.2587
0.9,0.2705,0.2685,-0.1181,FOLLOW_WALL,1.0506,0.2746,0.2761,0.2649,0.2604
0.95,0.2799,0.2674,-0.1212,FOLLOW_WALL,1.0456,0.2707,0.2748,0.2606,0.2541
1.0,0.2894,0.2662,-0.1241,FOLLOW_WALL,1.0323,0.2655,0.2726,0.2655,0.255
1.05,0.2988,0.265,-0.1266,FOLLOW_WALL,0.9964,0.2673,0.2713,0.269,0.2582
1.1,0.3082,0.2638,-0.1289,FOLLOW_WALL,0.995,0.2664,0.2701,0.2664,0.2489
1.15,0.3176,0.2626,-0.131,FOLLOW_WALL,0.986,0.2639,0.2686,0.2593,0.2557
1.2,0.3271,0.2614,-0.1328,FOLLOW_WALL,0.9765,0.2671,0.2683,0.2597,0.2537
1.25,0.3365,0.2601,-0.1346,FOLLOW_WALL,0.9675,0.2622,0.2668,0.2583,0.2539
1.3,0.3459,0.2589,-0.1361,FOLLOW_WALL,0.9579,0.2653,0.2665,0.2653,0.25
1.35,0.3553,0.2576,-0.1374,FOLLOW_WALL,0.9366,0.2554,0.2638,0.2554,0.2413
1.4,0.3647,0.2563,-0.1386,FOLLOW_WALL,0.9366,0.2559,0.2619,0.2545,0.2506
1.45,0.3741,0.255,-0.1395,FOLLOW_WALL,0.9207,0.2582,0.261,0.2582,0.2456
1.5,0.3835,0.2536,-0.1403,FOLLOW_WALL,0.9124,0.2551,0.2596,0.2551,0.2477
1.55,0.3929,0.2523,-0.1409,FOLLOW_WALL,0.9124,0.2557,0.2587,0.2562,0.2404
1.6,0.4023,0.251,-0.1415,FOLLOW_WALL,0.8993,0.2562,0.2581,0.2518,0.2439
1.65,0.4117,0.2496,-0.142,FOLLOW_WALL,0.9027,0.2557,0.2575,0.2421,0.2421
1.7,0.4212,0.2483,-0.1424,FOLLOW_WALL,0.8959,0.255,0.2569,0.2457,0.2386
1.75,0.4306,0.2469,-0.1427,FOLLOW_WALL,0.8881,0.2483,0.2548,0.2476,0.2348
1.8,0.44,0.2456,-0.1429,FOLLOW_WALL,0.8771,0.2504,0.2538,0.2411,0.2409
1.85,0.4494,0.2442,-0.143,FOLLOW_WALL,0.8738,0.25,0.2529,0.2499,0.2293
1.9,0.4588,0.2429,-0.143,FOLLOW_WALL,0.8706,0.2482,0.2518,0.2453,0.2332
1.95,0.4682,0.2415,-0.143,FOLLOW_WALL,0.8558,0.2443,0.25,0.2327,0.2277
2.0,0.4776,0.2402,-0.1428,FOLLOW_WALL,0.8701,0.2435,0.2484,0.2373,0.2294
2.05,0.487,0.2388,-0.1426,FOLLOW_WALL,0.8586,0.2406,0.2466,0.2421,0.2282
2.1,0.4964,0.2375,-0.1422,FOLLOW_WALL,0.8552,0.2421,0.2455,0.2342,0.2299
2.15,0.5058,0.2361,-0.1418,FOLLOW_WALL,0.8538,0.2363,0.2433,0.2363,0.2284
2.2,0.5152,0.2348,-0.1412,FOLLOW_WALL,0.8501,0.2391,0.2423,0.2359,0.2284
2.25,0.5246,0.2334,-0.1407,FOLLOW_WALL,0.8522,0.2397,0.2417,0.2311,0.2229
2.3,0.534,0.2321,-0.1401,FOLLOW_WALL,0.8417,0.236,0.2403,0.2304,0.223
2.35,0.5434,0.2308,-0.1395,FOLLOW_WALL,1.11,0.2416,0.2406,0.2316,0.2249
2.4,0.5528,0.2295,-0.1389,FOLLOW_WALL,0.8326,0.232,0.2385,0.2311,0.2212
2.45,0.5622,0.2281,-0.1382,FOLLOW_WALL,0.8334,0.2385,0.2385,0.227,0.2201
2.5,0.5716,0.2268,-0.1376,FOLLOW_WALL,0.8314,0.2368,0.2381,0.2268,0.2173
2.55,0.581,0.2255,-0.1369,FOLLOW_WALL,0.8163,0.2281,0.2357,0.2186,0.2163
2.6,0.5905,0.2242,-0.1362,FOLLOW_WALL,0.8245,0.2232,0.2327,0.2193,0.2109
2.65,0.5999,0.223,-0.1353,FOLLOW_WALL,0.8177,0.2214,0.23,0.2194,0.2106
2.7,0.6093,0.2217,-0.1343,FOLLOW_WALL,0.818,0.2268,0.2292,0.2261,0.2147
2.75,0.6187,0.2204,-0.1332,FOLLOW_WALL,0.809,0.2215,0.2274,0.2215,0.2101
2.8,0.6281,0.2191,-0.1322,FOLLOW_WALL,0.8193,0.2226,0.2262,0.2179,0.2085
2.85,0.6375,0.2179,-0.1311,FOLLOW_WALL,0.8153,0.2208,0.2249,0.2176,0.2078
2.9,0.6469,0.2166,-0.13,FOLLOW_WALL,0.8145,0.2184,0.2233,0.2172,0.206
2.95,0.6564,0.2154,-0.1288,FOLLOW_WALL,0.8077,0.2179,0.222,0.2162,0.2084
3.0,0.6658,0.2142,-0.1276,FOLLOW_WALL,0.8199,0.2167,0.2208,0.2114,0.2054
3.05,0.6752,0.213,-0.1265,FOLLOW_WALL,0.8073,0.2134,0.219,0.2092,0.2035
3.1,0.6846,0.2118,-0.1252,FOLLOW_WALL,0.8075,0.2109,0.2171,0.21,0.2042
3.15,0.6941,0.2106,-0.124,FOLLOW_WALL,0.8125,0.2181,0.2173,0.2086,0.2034
3.2,0.7035,0.2094,-0.1228,FOLLOW_WALL,0.7993,0.2154,0.2168,0.2107,0.2021
3.25,0.7129,0.2083,-0.1217,FOLLOW_WALL,0.8081,0.2121,0.2157,0.2078,0.2002
3.3,0.7223,0.2071,-0.1205,FOLLOW_WALL,0.8104,0.2133,0.2151,0.2054,0.1994
3.35,0.7318,0.206,-0.1194,FOLLOW_WALL,0.8047,0.2042,0.2125,0.2042,0.1952
3.4,0.7412,0.2048,-0.1182,FOLLOW_WALL,0.8086,0.2085,0.2115,0.2018,0.1982
3.45,0.7506,0.2037,-0.117,FOLLOW_WALL,0.8093,0.2107,0.2113,0.2092,0.1934
3.5,0.7601,0.2026,-0.1158,FOLLOW_WALL,0.7993,0.2019,0.2091,0.1977,0.1901
3.55,0.7695,0.2015,-0.1146,FOLLOW_WALL,0.7973,0.2083,0.2089,0.208,0.1905
3.6,0.779,0.2004,-0.1134,FOLLOW_WALL,0.8004,0.204,0.2077,0.203,0.1883
3.65,0.7884,0.1993,-0.1123,FOLLOW_WALL,0.8004,0.2013,0.2062,0.1932,0.1904
3.7,0.7978,0.1983,-0.1111,FOLLOW_WALL,0.7947,0.1998,0.2047,0.2011,0.1869
3.75,0.8073,0.1972,-0.1098,FOLLOW_WALL,0.7965,0.1989,0.2033,0.192,0.1874
3.8,0.8167,0.1962,-0.1086,FOLLOW_WALL,0.8033,0.1986,0.2022,0.1985,0.1874
3.85,0.8262,0.1952,-0.1074,FOLLOW_WALL,0.8054,0.1974,0.201,0.1967,0.1865
3.9,0.8356,0.1941,-0.1061,FOLLOW_WALL,0.8006,0.1959,0.1998,0.185,0.185
3.95,0.8451,0.1931,-0.1049,FOLLOW_WALL,0.798,0.1991,0.1996,0.1895,0.1852
4.0,0.8545,0.1921,-0.1037,FOLLOW_WALL,0.7982,0.1917,0.1977,0.1927,0.1815
4.05,0.8639,0.1912,-0.1025,FOLLOW_WALL,0.8005,0.1925,0.1965,0.1925,0.1818
4.1,0.8734,0.1902,-0.1012,FOLLOW_WALL,0.8035,0.1923,0.1955,0.1876,0.1808
4.15,0.8828,0.1892,-0.1,FOLLOW_WALL,0.7867,0.1932,0.1949,0.1816,0.1783
4.2,0.8923,0.1883,-0.0988,FOLLOW_WALL,0.7971,0.1876,0.1932,0.1804,0.1795
4.25,0.9018,0.1873,-0.0976,FOLLOW_WALL,0.8003,0.1893,0.1922,0.1869,0.1744
4.3,0.9112,0.1864,-0.0963,FOLLOW_WALL,0.7977,0.195,0.1929,0.177,0.177
4.35,0.9207,0.1855,-0.0952,FOLLOW_WALL,0.7954,0.1847,0.1909,0.1835,0.1781
4.4,0.9301,0.1846,-0.0941,FOLLOW_WALL,0.7992,0.1858,0.1897,0.1843,0.1745
4.45,0.9396,0.1837,-0.0929,FOLLOW_WALL,0.7968,0.1909,0.19,0.173,0.1697
4.5,0.949,0.1828,-0.0918,FOLLOW_WALL,0.7955,0.1858,0.189,0.1794,0.1699
4.55,0.9585,0.182,-0.0907,FOLLOW_WALL,0.7958,0.1833,0.1876,0.1824,0.1731
4.6,0.968,0.1811,-0.0896,FOLLOW_WALL,0.7963,0.1816,0.1862,0.1773,0.1676
4.65,0.9774,0.1802,-0.0885,FOLLOW_WALL,0.7883,0.1832,0.1855,0.1826,0.1734
4.7,0.9869,0.1794,-0.0874,FOLLOW_WALL,0.7985,0.1836,0.185,0.176,0.1721
4.75,0.9963,0.1786,-0.0863,FOLLOW_WALL,0.7927,0.1772,0.1831,0.1772,0.1693
4.8,1.0058,0.1778,-0.0852,FOLLOW_WALL,0.7929,0.1799,0.1824,0.1799,0.1686
4.85,1.0153,0.1769,-0.0841,FOLLOW_WALL,0.796,0.1813,0.1821,0.1712,0.1697
4.9,1.0247,0.1761,-0.083,FOLLOW_WALL,0.7966,0.1759,0.1806,0.1771,0.1693
4.95,1.0342,0.1754,-0.0819,FOLLOW_WALL,0.7911,0.1805,0.1806,0.1698,0.1645
